,input_text
317,"Title: Along with the Gods: The Two Worlds | Release Date: 2017-12-20 | Overview: Having died unexpectedly, firefighter Ja-hong is taken to the afterlife by 3 afterlife guardians. Only when he passes 7 trials over 49 days and proves he was innocent in human life, he’s able to reincarnate, and his 3 afterlife guardians are by his side to defend him in trial. | Directors: Kim Yong-hwa | Cast: Ha Jung-woo, Cha Tae-hyun, Ju Ji-hoon, Kim Hyang-gi, Lee Jung-jae | Genres: Action, Adventure, Drama, Fantasy, Thriller | Production Companies: Lotte Entertainment, Dexter Studios, Realies Pictures, Korean Film Council, Alpha Pictures, kth, Union Investment Partners | Production Countries: KR"
318,"Title: Before I Fall | Release Date: 2017-03-02 | Overview: Samantha Kingston has everything. Then, everything changes. After one fateful night, she wakes up with no future at all. Trapped into reliving the same day over and over, she begins to question just how perfect her life really was. | Directors: Ry Russo-Young | Cast: Zoey Deutch, Halston Sage, Elena Kampouris, Jennifer Beals, Logan Miller | Genres: Drama, Fantasy | Production Companies: Jon Shestack Productions, Awesomeness Films | Production Countries: US"
319,"Title: Call Me by Your Name | Release Date: 2017-07-28 | Overview: In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant. | Directors: Luca Guadagnino | Cast: Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar, Esther Garrel | Genres: Romance, Drama | Production Companies: La Cinéfacture, Frenesy Film, M.Y.R.A. Entertainment, RT Features, Water's End Productions, Memento Films International | Production Countries: BR, FR, IT, US"
320,"Title: The Irishman | Release Date: 2019-11-01 | Overview: Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years. | Directors: Martin Scorsese | Cast: Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano | Genres: Crime, Drama, History | Production Companies: Tribeca Productions, Sikelia Productions, Winkler Films | Production Countries: US"
321,"Title: The Beguiled | Release Date: 2017-06-23 | Overview: During the Civil War, at a Southern girls’ boarding school, young women take in an injured enemy soldier. As they provide refuge and tend to his wounds, the house is taken over with sexual tension and dangerous rivalries, and taboos are broken in an unexpected turn of events. | Directors: Sofia Coppola | Cast: Colin Farrell, Nicole Kidman, Kirsten Dunst, Elle Fanning, Oona Laurence | Genres: Drama | Production Companies: American Zoetrope | Production Countries: US"
322,"Title: The Commuter | Release Date: 2018-01-11 | Overview: A businessman, on his daily commute home, gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him. | Directors: Jaume Collet-Serra | Cast: Liam Neeson, Patrick Wilson, Sam Neill, Jonathan Banks, Vera Farmiga | Genres: Action, Thriller, Mystery | Production Companies: StudioCanal, TF1 Films Production, The Picture Company, Ombra Films | Production Countries: US, FR, ES"
323,"Title: The Shape of Water | Release Date: 2017-12-01 | Overview: An other-worldly story, set against the backdrop of Cold War era America circa 1962, where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape. | Directors: Guillermo del Toro | Cast: Sally Hawkins, Michael Shannon, Richard Jenkins, Octavia Spencer, Michael Stuhlbarg | Genres: Drama, Fantasy, Romance | Production Companies: Double Dare You, Fox Searchlight Pictures, Bull Productions, TSG Entertainment | Production Countries: US"
324,"Title: Logan Lucky | Release Date: 2017-08-17 | Overview: Trying to reverse a family curse, brothers Jimmy and Clyde Logan set out to execute an elaborate robbery during the legendary Coca-Cola 600 race at the Charlotte Motor Speedway. | Directors: Steven Soderbergh | Cast: Channing Tatum, Adam Driver, Daniel Craig, Riley Keough, Katie Holmes | Genres: Comedy, Crime, Action, Drama | Production Companies: Fingerprint Releasing | Production Countries: US"
325,"Title: Isle of Dogs | Release Date: 2018-03-23 | Overview: In the future, an outbreak of canine flu leads the mayor of a Japanese city to banish all dogs to an island used as a garbage dump. The outcasts must soon embark on an epic journey when a 12-year-old boy arrives on the island to find his beloved pet. | Directors: Wes Anderson | Cast: Bryan Cranston, Koyu Rankin, Bob Balaban, Edward Norton, Bill Murray | Genres: Adventure, Comedy, Animation | Production Companies: Studio Babelsberg, American Empirical Pictures, Indian Paintbrush, Scott Rudin Productions | Production Countries: DE, US"
326,"Title: Wendy | Release Date: 2020-02-28 | Overview: A re-imagining of ""Peter Pan"" from the point of view of Wendy Darling, who finds herself lost on a mysterious island where aging and time have come unglued. She must fight to save her family, her freedom and the joyous spirit of youth. | Directors: Benh Zeitlin | Cast: Devin France, Yashua Mack, Gage Naquin, Gavin Naquin, Krzysztof Meyn | Genres: Fantasy, Drama | Production Companies: Searchlight Pictures, Department of Motion Pictures, Court 13 Pictures, Celluloid Dreams, TSG Entertainment | Production Countries: FR, US"
327,"Title: Hunter Killer | Release Date: 2018-10-19 | Overview: Captain Glass of the USS Arkansas discovers that a coup d'état is taking place in Russia, so he and his crew join an elite group working on the ground to prevent a war. | Directors: Donovan Marsh | Cast: Gerard Butler, Gary Oldman, Toby Stephens, Common, Linda Cardellini | Genres: Action, Adventure, Thriller | Production Companies: Original Film, G-BASE, Millennium Media, Hunter Killer Productions, SprocketHeads, Tucker Tooley Entertainment, Lionsgate, Davis Films, Summit Entertainment, Relativity Media | Production Countries: FR, US"
328,"Title: Godzilla vs. Kong | Release Date: 2021-03-24 | Overview: In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages. | Directors: Adam Wingard | Cast: Alexander Skarsgård, Rebecca Hall, Kaylee Hottle, Brian Tyree Henry, Millie Bobby Brown | Genres: Action, Science Fiction, Adventure | Production Companies: Legendary Pictures | Production Countries: US"
329,"Title: Alita: Battle Angel | Release Date: 2019-01-31 | Overview: When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past. | Directors: Robert Rodriguez | Cast: Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein | Genres: Action, Science Fiction, Adventure | Production Companies: Troublemaker Studios, Lightstorm Entertainment, 20th Century Fox, TSG Entertainment | Production Countries: US"
330,"Title: The Nightingale | Release Date: 2018-09-23 | Overview: In 1825, Clare, a 21-year-old Irish convict, chases a British soldier through the rugged Tasmanian wilderness, bent on revenge for a terrible act of violence he committed against her family. She enlists the services of an Aboriginal tracker who is also marked by trauma from his own violence-filled past. | Directors: Jennifer Kent | Cast: Aisling Franciosi, Sam Claflin, Baykali Ganambarr, Damon Herriman, Harry Greenwood | Genres: Drama, Thriller, Western | Production Companies: Causeway Films, Made Up Stories, Screen Australia, South Australian Film Corporation, FilmNation Entertainment | Production Countries: AU"
331,"Title: Hotel Transylvania 3: Summer Vacation | Release Date: 2018-06-28 | Overview: Dracula, Mavis, Johnny and the rest of the Drac Pack take a vacation on a luxury Monster Cruise Ship, where Dracula falls in love with the ship’s captain, Ericka, who’s secretly a descendant of Abraham Van Helsing, the notorious monster slayer. | Directors: Genndy Tartakovsky | Cast: Adam Sandler, Andy Samberg, Selena Gomez, Kathryn Hahn, Jim Gaffigan | Genres: Animation, Comedy, Family, Fantasy | Production Companies: Columbia Pictures, Sony Pictures Animation, MRC | Production Countries: US"
332,"Title: Sicario: Day of the Soldado | Release Date: 2018-06-27 | Overview: Agent Matt Graver teams up with operative Alejandro Gillick to prevent Mexican drug cartels from smuggling terrorists across the United States border. | Directors: Stefano Sollima | Cast: Benicio del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan, Catherine Keener | Genres: Action, Crime, Thriller | Production Companies: Thunder Road, Black Label Media, Columbia Pictures, Lionsgate, Redrum | Production Countries: MX, US"
333,"Title: Tully | Release Date: 2018-05-04 | Overview: Marlo, a mother of three, including a newborn, is gifted a night nanny by her brother. Hesitant at first, she quickly forms a bond with the thoughtful, surprising, and sometimes challenging nanny named Tully. | Directors: Jason Reitman | Cast: Charlize Theron, Mackenzie Davis, Ron Livingston, Mark Duplass, Asher Miles Fallica | Genres: Comedy, Drama | Production Companies: Bron Studios, Creative Wealth Media Finance, Denver & Delilah Productions, Right of Way Films, West Egg Studios, Sierra/Affinity, Focus Features | Production Countries: CA, US"
334,"Title: Mary Poppins Returns | Release Date: 2018-12-13 | Overview: Mary Poppins returns to the Banks family and helps them evade grave dangers by taking them on magical, musical adventures. | Directors: Rob Marshall | Cast: Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Pixie Davies | Genres: Fantasy, Family, Comedy | Production Companies: Walt Disney Pictures, Marc Platt Productions, Lucamar Productions | Production Countries: US"
335,"Title: The Truth Beneath | Release Date: 2016-06-23 | Overview: For 15 days, a politician and his wife navigate a scandal after their daughter goes missing on the eve of the national elections. | Directors: Lee Kyoung-mi | Cast: Son Ye-jin, Kim Joo-hyuk, Choi Yu-hwa, Kim Min-jae, Park Jin-woo | Genres: Thriller, Drama | Production Companies: Film Train, CJ Entertainment, Gummy Film | Production Countries: KR"
336,"Title: Red Sparrow | Release Date: 2018-02-28 | Overview: Prima ballerina Dominika Egorova faces a bleak and uncertain future after she suffers an injury that ends her career. She soon turns to Sparrow School, a secret intelligence service that trains exceptional young people to use their minds and bodies as weapons. Dominika emerges as the most dangerous Sparrow after completing the sadistic training process. As she comes to terms with her new abilities, she meets a CIA agent who tries to convince her that he is the only person she can trust. | Directors: Francis Lawrence | Cast: Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling, Jeremy Irons | Genres: Thriller, Mystery | Production Companies: Chernin Entertainment, 20th Century Fox, TSG Entertainment | Production Countries: US"
337,"Title: Denial | Release Date: 2016-09-30 | Overview: Acclaimed writer and historian Deborah E. Lipstadt must battle for historical truth to prove the Holocaust actually occurred when David Irving, a renowned denier, sues her for libel. | Directors: Mick Jackson | Cast: Rachel Weisz, Tom Wilkinson, Timothy Spall, Andrew Scott, Jack Lowden | Genres: Drama, History | Production Companies: BBC Film, Participant, Krasnoff / Foster Entertainment, Shoebox Films | Production Countries: GB, US"
338,"Title: Wicked | Release Date: 2024-11-20 | Overview: In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West. | Directors: Jon M. Chu | Cast: Cynthia Erivo, Ariana Grande, Jeff Goldblum, Michelle Yeoh, Jonathan Bailey | Genres: Drama, Romance, Fantasy | Production Companies: Universal Pictures, Marc Platt Productions | Production Countries: US"
